,statistics,time,simulation_time,generation_time
0,25,2020-12-10 22:55:43.745167,111587.44773745537,8311.77079319954
1,25,2020-12-11 09:41:21.306598,,
2,25,2020-12-11 22:14:59.865611,,
3,25,2020-12-12 09:41:21.415201,,
4,25,2020-12-12 22:01:10.828387,,
5,25,2020-12-13 09:41:22.571426,,
6,25,2020-12-13 21:48:55.758165,,
7,25,2020-12-14 09:41:21.133040,,
8,25,2020-12-14 22:06:03.140796,,
9,25,2020-12-15 09:41:22.822977,,
10,25,2020-12-15 23:00:01.267424,,
11,25,2020-12-16 09:41:22.596937,,
12,26,2020-12-16 21:56:07.707814,,
13,32,2020-12-17 09:41:23.737888,,
14,34,2020-12-17 22:04:23.351791,,
15,38,2020-12-18 09:41:25.029248,,
16,39,2020-12-18 22:02:30.467885,,
17,46,2020-12-19 09:41:22.210407,,
18,49,2020-12-19 22:25:34.310217,,
19,60,2020-12-20 09:41:22.574328,,
20,62,2020-12-20 21:48:57.336350,,
21,68,2020-12-21 09:41:21.480876,,
22,69,2020-12-21 22:20:09.280403,,
23,76,2020-12-22 09:41:22.885729,,
24,79,2020-12-22 21:45:51.544743,,
25,92,2020-12-23 09:41:22.165390,,
26,95,2020-12-23 22:59:05.177669,,
27,116,2020-12-24 09:41:22.795136,,
28,118,2020-12-24 21:43:21.000000,,
29,151,2020-12-25 09:41:21.268950,,
30,154,2020-12-25 21:45:26.795825,,
31,200,2020-12-26 09:41:21.044548,,
32,203,2020-12-26 21:41:40.469411,,
33,233,2020-12-27 09:41:21.997730,,
34,236,2020-12-27 21:53:00.921916,,
35,285,2020-12-28 09:41:22.536801,,
36,291,2020-12-28 22:40:49.861774,,
37,359,2020-12-29 09:41:21.000000,,
38,363,2020-12-29 21:43:21.000000,,
39,460,2020-12-30 09:41:21.734126,,
40,468,2020-12-30 21:57:31.836684,,
41,623,2020-12-31 09:41:22.090973,,
42,631,2020-12-31 21:43:17.049796,,
43,825,2021-01-01 09:41:21.902292,,
44,833,2021-01-01 22:17:34.572496,,
45,979,2021-01-02 09:41:21.723168,,
46,989,2021-01-02 21:52:21.000000,,
47,1165,2021-01-03 09:41:21.381105,,
48,1172,2021-01-03 21:55:21.000000,,
49,1325,2021-01-04 09:41:22.918924,,
50,1349,2021-01-04 21:50:50.877248,,
51,1512,2021-01-05 09:41:22.141233,,
52,1525,2021-01-05 22:01:10.931070,,
53,1787,2021-01-06 09:41:22.370857,,
54,1820,2021-01-06 21:44:21.000000,,
55,2018,2021-01-07 09:41:22.588219,,
56,2050,2021-01-07 21:41:21.000000,,
57,2231,2021-01-08 09:41:21.022033,,
58,2264,2021-01-08 21:49:21.000000,,
59,2417,2021-01-09 09:41:22.575440,,
60,2452,2021-01-09 21:49:21.000000,,
61,2589,2021-01-10 09:41:24.180626,,
62,2625,2021-01-10 21:55:21.000000,,
63,2727,2021-01-11 09:41:23.561285,,
64,2760,2021-01-11 21:42:21.000000,,
65,2853,2021-01-12 09:41:21.246616,,
66,2892,2021-01-12 21:44:21.000000,,
67,2991,2021-01-13 09:41:21.000000,,
68,3033,2021-01-13 21:42:21.000000,,
69,3129,2021-01-14 09:41:24.330300,,
70,3170,2021-01-14 21:48:21.000000,,
71,3254,2021-01-15 09:41:22.070283,,
72,3305,2021-01-15 21:44:25.389569,,
73,3380,2021-01-16 09:41:21.429909,,
74,3418,2021-01-16 21:44:21.000000,,
75,3504,2021-01-17 09:41:21.199063,,
76,3551,2021-01-17 21:46:21.000000,,
77,3636,2021-01-18 09:41:21.711559,,
78,3673,2021-01-18 21:45:21.000000,,
79,3765,2021-01-19 09:41:22.270901,,
80,3783,2021-01-19 21:42:21.000000,,
81,3872,2021-01-20 09:41:21.006389,,
82,3875,2021-01-20 21:44:21.000000,,
83,3948,2021-01-21 09:41:22.715620,,
84,3943,2021-01-21 21:41:21.000000,,
